amount of threads: 4
N 	time_simple 	time_parallel
10	11.7571	9.57981
20	22.0864	10.4602
30	30.9688	11.3833
40	37.8443	16.0881
50	43.2008	13.9172
60	45.753	15.2266
70	50.4124	15.6767
80	68.2925	18.0934
90	56.9825	17.3223
100	52.3116	15.6067
110	54.7028	16.4897
120	59.0215	18.2244
130	63.1207	19.0244
140	68.1995	20.9873
150	73.2562	22.1941
160	78.3709	23.5034
170	82.3222	24.6699
180	87.113	26.187
190	91.926	27.039
200	98.1536	28.6642
210	102.562	30.0709
220	106.976	31.3772
230	112.281	32.4884
240	117.051	34.3584
250	120.833	35.2846
260	123.214	36.4196
270	123.915	37.6315
280	128.993	39.1913
290	133.564	40.0287
300	137.509	41.5412
310	142.196	42.8861
320	146.434	44.2343
330	151.338	45.3338
340	158.393	47.1569
350	165.32	50.2254
360	169.498	49.4929
370	173.085	50.7931
380	178.428	55.2221
390	183.058	53.1714
400	188.221	66.4648
410	192.281	57.2438
420	195.831	57.8024
430	200.186	58.5821
440	205.239	60.1936
450	205.942	61.0514
460	211.059	63.2574
470	214.659	64.4807
480	223.28	65.5875
490	230.475	66.5758
500	227.773	67.343
510	235.352	68.639
520	373.85	92.3964
530	277.183	71.5548
540	259.149	73.7928
550	256.788	73.7921
560	260.483	76.2938
570	259.716	76.9587
580	267.748	78.7899
590	275.449	80.0561
600	272.52	80.9291
610	281.584	82.1605
620	285.395	84.443
630	285.98	84.7064
640	301.627	85.7986
650	300.408	87.3391
660	306.39	88.7812
670	305.317	89.9486
680	312.581	92.3365
690	319.251	92.6889
700	321.62	94.8551
710	326.657	94.7244
720	343.258	100.5
730	346.877	98.5713
740	340.999	99.5714
750	344.884	100.607
760	348.934	101.755
770	356.503	103.127
780	361.067	104.928
790	374.414	108.683
800	379.71	111.031
810	396.112	116.967
820	388.578	110.179
830	379.65	111.265
840	383.557	112.646
850	390.465	114.846
860	396.734	114.825
870	400.01	116.282
880	403.092	117.944
890	410.578	118.8
900	416.519	120.868
910	414.608	120.711
920	425.112	123.442
930	429.286	124.728
940	434.343	126.912
950	443.249	126.674
960	446.741	129.431
970	444.814	129.051
980	448.263	131.099
990	455.706	131.708
1000	458.74	132.462
