amount of threads: 2
N 	time_simple 	time_parallel
10	5.12652	4.59345
20	10.0224	6.51559
30	15.0578	9.07007
40	19.0275	11.4069
50	23.6475	13.8324
60	28.4076	16.2478
70	34.0662	18.5025
80	37.604	21.3241
90	41.924	23.3884
100	46.9138	26.4466
110	52.2637	28.4616
120	56.1814	31.2158
130	60.1633	33.2506
140	64.9158	35.8232
150	69.6568	38.7979
160	74.6022	41.0575
170	78.4213	43.1393
180	82.8361	45.4646
190	87.6401	47.6724
200	92.4014	50.4989
210	99.0743	53.5552
220	101.585	54.9331
230	106.242	57.7977
240	113.526	60.5232
250	115.216	62.267
260	119.462	65.1259
270	124.367	67.4508
280	130.495	69.1978
290	135.352	72.0532
300	138.114	74.4639
310	144.384	78.6184
320	147.244	79.7911
330	152.788	83.3793
340	156.167	84.1525
350	161.064	88.5265
360	165.528	88.9426
370	171.34	91.2057
380	174.303	93.4738
390	180.586	96.5128
400	184.72	98.9875
410	188.836	101.245
420	194.556	103.544
430	197.709	106.47
440	202.173	108.491
450	209.282	111.33
460	211.051	113.781
470	216.236	116.125
480	221.5	118.157
490	226.268	120.214
500	230.744	122.815
510	233.142	125.719
520	239.801	126.964
530	242.58	129.638
540	247.802	132.952
550	262.136	134.798
560	256.05	140.299
570	263.094	139.812
580	268.49	142.093
590	272.206	143.845
600	274.892	149.622
610	279.967	149.024
620	285.257	151.273
630	287.039	153.96
640	292.447	156.167
650	296.555	158.881
660	302.33	161.129
670	307.415	164.455
680	312.657	166.967
690	315.631	168.794
700	320.666	171.346
710	324.766	171.957
720	328.716	175.568
730	334.669	181.068
740	339.495	180.321
750	345.822	183.845
760	350.271	185.522
770	352	188.059
780	358.359	190.537
790	362.103	192.849
800	366.14	196.645
810	372.499	197.778
820	377.531	199.409
830	379.122	202.539
840	383.407	205.505
850	392.248	208.616
860	394.019	209.986
870	397.637	212.175
880	410.417	213.984
890	410.117	216.939
900	412.77	219.468
910	417.822	219.648
920	421.987	227.294
930	425.689	228.979
940	433.053	229.728
950	435.057	231.939
960	440.818	234.001
970	442.465	234.915
980	450.49	237.879
990	453.545	240.193
1000	455.417	244.67
