amount of threads: 2
N 	time_simple 	time_parallel
10	5.80101	4.35395
20	11.8889	7.57592
30	17.6949	11.0054
40	22.5857	13.3785
50	27.8839	16.2557
60	33.2639	19.9357
70	38.9275	22.3028
80	45.0446	25.7563
90	50.1529	28.5386
100	55.1541	30.9605
110	61.652	34.854
120	66.8572	37.5137
130	72.8555	40.163
140	77.4285	43.177
150	82.847	46.128
160	88.6649	49.3976
170	95.4426	51.6371
180	98.8638	54.8785
190	104.633	57.8517
200	109.883	60.4407
210	115.761	64.257
220	120.938	66.4089
230	127.105	70.2682
240	132.578	72.3721
250	138.004	75.4508
260	149.919	78.108
270	147.954	81.0454
280	153.258	83.8501
290	158.497	86.5984
300	164.272	89.5817
310	169.911	92.7775
320	175.67	95.7448
330	180.915	99.4787
340	186.063	101.443
350	191.861	104.727
360	196.387	106.861
370	202.372	109.891
380	214.122	115.516
390	213.237	115.441
400	221.033	119.701
410	224.041	121.88
420	229.833	125.374
430	236.406	127.06
440	239.339	129.66
450	246.885	133.619
460	254.288	136.538
470	260.9	139.693
480	262.005	141.86
490	268.828	144.529
500	272.966	147.43
510	278.236	150.828
520	282.184	152.945
530	289.147	157.04
540	300.352	158.957
550	300.601	162.8
560	308.463	167.657
570	310.652	167.859
580	315.958	170.988
590	321.178	172.758
600	326.662	176.618
610	333.301	181.312
620	340.751	182.204
630	343.408	184.518
640	349.098	186.419
650	355.662	190.812
660	361.519	193.988
670	367.107	199.921
680	371.736	200.248
690	378.771	201.637
700	382.041	206.373
710	387.631	207.39
720	392.503	210.751
730	399.702	214.179
740	401.654	216.467
750	407.628	220.006
760	416.123	225.574
770	420.523	226.205
780	428.784	228.192
790	431.634	231.177
800	436.471	234.552
810	439.605	238.233
820	446.224	238.917
830	460.163	244.576
840	455.995	245.76
850	462.069	250.275
860	469.741	250.066
870	474.582	253.278
880	476.048	256.338
890	483.37	259.52
900	490.908	263.255
910	502.954	276.519
920	501.949	268.163
930	505.246	271.075
940	511.593	276.773
950	516.589	278.814
960	525.439	281.804
970	527.088	282.503
980	531.389	287.629
990	540.313	289.404
1000	546.158	292.554
