amount of threads: 4
N 	coef
10	1.04821
110	4.21654
210	3.67342
310	2.99367
410	3.51699
510	2.59974
610	2.60343
710	2.54052
810	2.60119
910	2.58263
1010	3.32557
1110	3.36054
1210	3.27651
1310	3.37447
1410	3.39345
1510	3.08783
1610	2.56538
1710	2.62776
1810	3.22293
1910	3.33704
2010	3.39856
2110	3.37711
2210	3.40167
2310	3.32457
2410	3.43123
2510	3.45097
2610	3.47756
2710	3.25861
2810	3.40033
2910	3.39929
3010	3.40614
3110	3.39384
3210	3.41565
3310	3.40824
3410	2.61458
3510	2.63187
3610	2.62838
3710	2.62236
3810	2.64783
3910	2.6482
4010	3.41726
4110	2.62841
4210	2.61322
4310	2.66203
4410	2.62798
4510	2.62877
4610	3.47309
4710	3.47867
4810	3.47134
4910	3.46253
5010	3.43578
5110	3.49607
5210	3.47516
5310	3.46516
5410	3.47945
5510	3.47234
5610	3.42236
5710	3.50315
5810	3.45969
5910	3.45731
6010	3.54063
6110	3.53399
6210	3.44899
6310	3.44628
6410	3.44794
6510	3.44707
6610	3.47568
6710	3.47753
6810	3.41268
6910	3.46541
7010	3.43011
7110	3.46602
7210	3.457
7310	3.44346
7410	3.48198
7510	3.44964
7610	3.45761
7710	3.46389
7810	3.44618
7910	3.46864
8010	3.46988
8110	3.40737
8210	3.47709
8310	2.55171
8410	3.43576
8510	3.46895
8610	3.49367
8710	3.45791
8810	3.70608
8910	3.46057
9010	3.46925
9110	3.4932
9210	3.47517
9310	3.46851
9410	3.43253
9510	3.50053
9610	3.45081
9710	3.42012
9810	3.44327
9910	3.48212
