amount of threads: 2
N 	time_simple 	time_parallel
10	0.00662297	0.00590216
20	0.013041	0.00856506
30	0.0195317	0.0122121
40	0.0261782	0.0159717
50	0.0327431	0.0194603
60	0.0393233	0.0229642
70	0.0386261	0.020552
80	0.0380536	0.0239524
90	0.0417296	0.0242421
100	0.0469671	0.0267309
110	0.0516841	0.0291016
120	0.0602379	0.0336078
130	0.0644874	0.0386382
140	0.0779554	0.0430033
150	0.0867899	0.0480774
160	0.105873	0.0583606
170	0.111197	0.0613122
180	0.117836	0.0643859
190	0.124451	0.0677355
200	0.131689	0.0718797
210	0.138423	0.0757273
220	0.144369	0.0783503
230	0.151101	0.0814444
240	0.158275	0.0863418
250	0.163183	0.0885283
260	0.169855	0.0918886
270	0.177914	0.0962302
280	0.183588	0.0989242
290	0.190216	0.102602
300	0.196961	0.106288
310	0.203809	0.110171
320	0.210227	0.113598
330	0.163882	0.0836043
340	0.158129	0.0882192
350	0.194508	0.10542
360	0.235998	0.126964
370	0.241686	0.131595
380	0.248823	0.133604
390	0.257349	0.138204
400	0.262987	0.1416
410	0.268894	0.145038
420	0.275011	0.147883
430	0.282575	0.151619
440	0.288772	0.154757
450	0.296402	0.159113
460	0.301858	0.162615
470	0.308619	0.167372
480	0.315521	0.168955
490	0.321466	0.17169
500	0.327015	0.175136
510	0.333251	0.17845
520	0.34033	0.181481
530	0.24517	0.132827
540	0.305724	0.167287
550	0.368184	0.191951
560	0.3663	0.195173
570	0.373363	0.199389
580	0.378952	0.203166
590	0.386356	0.205281
600	0.393294	0.209804
610	0.400435	0.21249
620	0.405928	0.218379
630	0.308577	0.179252
640	0.418882	0.22265
650	0.423932	0.229
660	0.432576	0.231545
670	0.36213	0.167139
680	0.385503	0.224949
690	0.451714	0.24114
700	0.461573	0.244524
710	0.462767	0.24717
720	0.470536	0.253148
730	0.478231	0.25734
740	0.483476	0.259968
750	0.489848	0.262788
760	0.497002	0.265272
770	0.503462	0.268951
780	0.512961	0.272487
790	0.516469	0.275212
800	0.524087	0.278535
810	0.5303	0.28231
820	0.538967	0.284574
830	0.543583	0.287872
840	0.547971	0.291092
850	0.557922	0.298676
860	0.563667	0.29826
870	0.569012	0.302214
880	0.575512	0.305147
890	0.582638	0.310357
900	0.591354	0.313388
910	0.593346	0.314453
920	0.60332	0.320691
930	0.609169	0.324103
940	0.616903	0.328146
950	0.623234	0.333867
960	0.628565	0.335046
970	0.633709	0.334777
980	0.641495	0.340256
990	0.646637	0.34329
1000	0.546704	0.254659
