amount of threads: 4
N 	coef
10	1.24786
20	2.381
30	2.28234
40	2.71727
50	2.89683
60	3.07056
70	3.52825
80	3.15864
90	2.91344
100	3.11179
110	2.97725
120	2.4536
130	2.83676
140	3.18584
150	3.57987
160	3.27568
170	3.30387
180	2.48144
190	2.63517
200	2.62635
210	2.60303
220	2.5983
230	2.5278
240	2.59157
250	2.50679
260	2.50292
270	2.50158
280	2.56958
290	2.5335
300	2.40505
310	2.60264
320	2.60065
330	2.7217
340	2.57627
350	2.6796
360	3.44287
370	3.4763
380	3.5163
390	2.94788
400	3.37492
410	2.60212
420	2.59477
430	2.604
440	2.57278
450	2.60261
460	2.57057
470	2.51296
480	2.46822
490	2.57961
500	2.59749
510	2.54662
520	2.52355
530	2.55811
540	2.45476
550	2.59032
560	2.41948
570	2.61176
580	2.57641
590	2.53881
600	2.59202
610	2.58872
620	2.58368
630	2.5659
640	2.56723
650	2.51603
660	2.52874
670	2.22386
680	2.54902
690	2.56277
700	3.46059
710	3.46781
720	3.46373
730	3.52774
740	3.48154
750	3.31839
760	3.42584
770	3.49415
780	3.38806
790	3.45056
800	3.50092
810	3.34966
820	2.80961
830	2.80009
840	3.41096
850	2.57922
860	2.57993
870	2.57061
880	2.53956
890	3.36781
900	2.62622
910	3.41884
920	3.50202
930	3.42806
940	3.41602
950	3.36965
960	3.33969
970	3.36712
980	3.4011
990	3.41416
1000	3.38306
