amount of threads: 4
N 	coef
10	1.59676
20	2.16924
30	2.49114
40	3.50581
50	3.04406
60	3.09035
70	3.08024
80	3.28251
90	3.21147
100	3.02464
110	2.61396
120	3.15489
130	3.29489
140	3.20217
150	3.287
160	3.45803
170	2.48741
180	2.4621
190	2.46894
200	2.46581
210	2.46526
220	2.5079
230	2.50244
240	2.46908
250	2.55768
260	2.58371
270	2.5111
280	2.39463
290	2.55032
300	2.53341
310	2.67195
320	2.66647
330	2.6633
340	2.58923
350	2.72692
360	3.11676
370	3.52463
380	3.53086
390	3.26911
400	2.57334
410	2.57617
420	2.58115
430	2.54062
440	2.55203
450	2.62396
460	2.51933
470	2.49993
480	2.49859
490	2.55303
500	2.54158
510	2.50748
520	2.54352
530	2.53845
540	2.53375
550	2.45642
560	2.55799
570	2.54772
580	2.56715
590	2.55425
600	2.60997
610	2.54909
620	2.58109
630	2.55759
640	2.57335
650	2.5643
660	2.55153
670	2.51671
680	2.51001
690	3.2844
700	3.2981
710	3.27892
720	3.25926
730	3.37003
740	3.49667
750	3.39766
760	3.35591
770	3.35717
780	3.47054
790	3.30069
800	3.33055
810	3.39446
820	2.76729
830	3.35761
840	2.53217
850	2.53188
860	2.53984
870	2.53234
880	2.53085
890	2.65032
900	3.30432
910	3.18587
920	3.27762
930	3.34803
940	3.34687
950	3.32566
960	3.43585
970	3.37831
980	3.33624
990	3.34812
1000	3.32098
