amount of threads: 2
N 	coef
10	1.15616
20	1.56461
30	1.65196
40	1.79348
50	1.68162
60	1.88895
70	1.71887
80	1.69813
90	1.75889
100	1.72999
110	1.84496
120	1.65352
130	1.82275
140	1.91995
150	1.68438
160	1.84996
170	1.78633
180	1.79971
190	1.81767
200	1.78276
210	1.8483
220	1.81836
230	1.84034
240	1.66927
250	1.91986
260	1.83996
270	1.78972
280	1.91373
290	1.84858
300	1.9168
310	1.85501
320	1.91136
330	1.73852
340	1.83924
350	1.90319
360	1.93874
370	1.86472
380	1.88484
390	1.77685
400	1.79951
410	1.87352
420	1.90561
430	1.92239
440	1.91264
450	1.83766
460	1.78118
470	1.91364
480	1.81224
490	1.91594
500	1.84042
510	1.88213
520	1.77424
530	1.91745
540	1.8896
550	1.76587
560	1.84743
570	1.87178
580	1.89148
590	1.91642
600	1.91818
610	1.93167
620	1.87176
630	1.81152
640	1.82294
650	1.88161
660	1.9123
670	1.78938
680	1.86483
690	1.85562
700	1.92537
710	1.83456
720	1.87615
730	1.90549
740	1.7866
750	1.85741
760	1.85045
770	1.85283
780	1.84255
790	1.81756
800	1.832
810	1.84046
820	1.84087
830	1.89686
840	1.87618
850	1.84392
860	1.90479
870	1.89598
880	1.86045
890	1.88808
900	1.84179
910	1.87314
920	1.84369
930	1.84779
940	1.85526
950	1.83879
960	1.80298
970	1.85763
980	1.86415
990	1.8695
1000	1.84523
